"","CERCOPITHECIDAE","y"
"1",0,-4.69846460848053
"2",0.0101010101010101,-4.69846460848053
"3",0.0202020202020202,-4.69846460848053
"4",0.0303030303030303,-4.69846460848053
"5",0.0404040404040404,-4.69846460848053
"6",0.0505050505050505,-4.69846460848053
"7",0.0606060606060606,-4.69846460848053
"8",0.0707070707070707,-4.69846460848053
"9",0.0808080808080808,-4.69846460848053
"10",0.0909090909090909,-4.69846460848053
"11",0.101010101010101,-4.69846460848053
"12",0.111111111111111,-4.69846460848053
"13",0.121212121212121,-4.69846460848053
"14",0.131313131313131,-4.69846460848053
"15",0.141414141414141,-4.69846460848053
"16",0.151515151515152,-4.69846460848053
"17",0.161616161616162,-4.69846460848053
"18",0.171717171717172,-4.69846460848053
"19",0.181818181818182,-4.69846460848053
"20",0.191919191919192,-4.69846460848053
"21",0.202020202020202,-4.69846460848053
"22",0.212121212121212,-4.69846460848053
"23",0.222222222222222,-4.69846460848053
"24",0.232323232323232,-4.69846460848053
"25",0.242424242424242,-4.69846460848053
"26",0.252525252525253,-4.69846460848053
"27",0.262626262626263,-4.69846460848053
"28",0.272727272727273,-4.69846460848053
"29",0.282828282828283,-4.69846460848053
"30",0.292929292929293,-4.69846460848053
"31",0.303030303030303,-4.69846460848053
"32",0.313131313131313,-4.69846460848053
"33",0.323232323232323,-4.69846460848053
"34",0.333333333333333,-4.69846460848053
"35",0.343434343434343,-4.69846460848053
"36",0.353535353535354,-4.69846460848053
"37",0.363636363636364,-4.69846460848053
"38",0.373737373737374,-4.69846460848053
"39",0.383838383838384,-4.69846460848053
"40",0.393939393939394,-4.69846460848053
"41",0.404040404040404,-4.69846460848053
"42",0.414141414141414,-4.69846460848053
"43",0.424242424242424,-4.69846460848053
"44",0.434343434343434,-4.69846460848053
"45",0.444444444444444,-4.69846460848053
"46",0.454545454545455,-4.69846460848053
"47",0.464646464646465,-4.69846460848053
"48",0.474747474747475,-4.69846460848053
"49",0.484848484848485,-4.69846460848053
"50",0.494949494949495,-4.69846460848053
"51",0.505050505050505,-3.53963108077671
"52",0.515151515151515,-3.53963108077671
"53",0.525252525252525,-3.53963108077671
"54",0.535353535353535,-3.53963108077671
"55",0.545454545454546,-3.53963108077671
"56",0.555555555555556,-3.53963108077671
"57",0.565656565656566,-3.53963108077671
"58",0.575757575757576,-3.53963108077671
"59",0.585858585858586,-3.53963108077671
"60",0.595959595959596,-3.53963108077671
"61",0.606060606060606,-3.53963108077671
"62",0.616161616161616,-3.53963108077671
"63",0.626262626262626,-3.53963108077671
"64",0.636363636363636,-3.53963108077671
"65",0.646464646464647,-3.53963108077671
"66",0.656565656565657,-3.53963108077671
"67",0.666666666666667,-3.53963108077671
"68",0.676767676767677,-3.53963108077671
"69",0.686868686868687,-3.53963108077671
"70",0.696969696969697,-3.53963108077671
"71",0.707070707070707,-3.53963108077671
"72",0.717171717171717,-3.53963108077671
"73",0.727272727272727,-3.53963108077671
"74",0.737373737373737,-3.53963108077671
"75",0.747474747474748,-3.53963108077671
"76",0.757575757575758,-3.53963108077671
"77",0.767676767676768,-3.53963108077671
"78",0.777777777777778,-3.53963108077671
"79",0.787878787878788,-3.53963108077671
"80",0.797979797979798,-3.53963108077671
"81",0.808080808080808,-3.53963108077671
"82",0.818181818181818,-3.53963108077671
"83",0.828282828282828,-3.53963108077671
"84",0.838383838383838,-3.53963108077671
"85",0.848484848484849,-3.53963108077671
"86",0.858585858585859,-3.53963108077671
"87",0.868686868686869,-3.53963108077671
"88",0.878787878787879,-3.53963108077671
"89",0.888888888888889,-3.53963108077671
"90",0.898989898989899,-3.53963108077671
"91",0.909090909090909,-3.53963108077671
"92",0.919191919191919,-3.53963108077671
"93",0.929292929292929,-3.53963108077671
"94",0.939393939393939,-3.53963108077671
"95",0.94949494949495,-3.53963108077671
"96",0.95959595959596,-3.53963108077671
"97",0.96969696969697,-3.53963108077671
"98",0.97979797979798,-3.53963108077671
"99",0.98989898989899,-3.53963108077671
"100",1,-3.53963108077671
