"","MIMIDAE","y"
"1",0,-5.05596522403985
"2",0.0101010101010101,-5.05596522403985
"3",0.0202020202020202,-5.05596522403985
"4",0.0303030303030303,-5.05596522403985
"5",0.0404040404040404,-5.05596522403985
"6",0.0505050505050505,-5.05596522403985
"7",0.0606060606060606,-5.05596522403985
"8",0.0707070707070707,-5.05596522403985
"9",0.0808080808080808,-5.05596522403985
"10",0.0909090909090909,-5.05596522403985
"11",0.101010101010101,-5.05596522403985
"12",0.111111111111111,-5.05596522403985
"13",0.121212121212121,-5.05596522403985
"14",0.131313131313131,-5.05596522403985
"15",0.141414141414141,-5.05596522403985
"16",0.151515151515152,-5.05596522403985
"17",0.161616161616162,-5.05596522403985
"18",0.171717171717172,-5.05596522403985
"19",0.181818181818182,-5.05596522403985
"20",0.191919191919192,-5.05596522403985
"21",0.202020202020202,-5.05596522403985
"22",0.212121212121212,-5.05596522403985
"23",0.222222222222222,-5.05596522403985
"24",0.232323232323232,-5.05596522403985
"25",0.242424242424242,-5.05596522403985
"26",0.252525252525253,-5.05596522403985
"27",0.262626262626263,-5.05596522403985
"28",0.272727272727273,-5.05596522403985
"29",0.282828282828283,-5.05596522403985
"30",0.292929292929293,-5.05596522403985
"31",0.303030303030303,-5.05596522403985
"32",0.313131313131313,-5.05596522403985
"33",0.323232323232323,-5.05596522403985
"34",0.333333333333333,-5.05596522403985
"35",0.343434343434343,-5.05596522403985
"36",0.353535353535354,-5.05596522403985
"37",0.363636363636364,-5.05596522403985
"38",0.373737373737374,-5.05596522403985
"39",0.383838383838384,-5.05596522403985
"40",0.393939393939394,-5.05596522403985
"41",0.404040404040404,-5.05596522403985
"42",0.414141414141414,-5.05596522403985
"43",0.424242424242424,-5.05596522403985
"44",0.434343434343434,-5.05596522403985
"45",0.444444444444444,-5.05596522403985
"46",0.454545454545455,-5.05596522403985
"47",0.464646464646465,-5.05596522403985
"48",0.474747474747475,-5.05596522403985
"49",0.484848484848485,-5.05596522403985
"50",0.494949494949495,-5.05596522403985
"51",0.505050505050505,-3.94971045518184
"52",0.515151515151515,-3.94971045518184
"53",0.525252525252525,-3.94971045518184
"54",0.535353535353535,-3.94971045518184
"55",0.545454545454546,-3.94971045518184
"56",0.555555555555556,-3.94971045518184
"57",0.565656565656566,-3.94971045518184
"58",0.575757575757576,-3.94971045518184
"59",0.585858585858586,-3.94971045518184
"60",0.595959595959596,-3.94971045518184
"61",0.606060606060606,-3.94971045518184
"62",0.616161616161616,-3.94971045518184
"63",0.626262626262626,-3.94971045518184
"64",0.636363636363636,-3.94971045518184
"65",0.646464646464647,-3.94971045518184
"66",0.656565656565657,-3.94971045518184
"67",0.666666666666667,-3.94971045518184
"68",0.676767676767677,-3.94971045518184
"69",0.686868686868687,-3.94971045518184
"70",0.696969696969697,-3.94971045518184
"71",0.707070707070707,-3.94971045518184
"72",0.717171717171717,-3.94971045518184
"73",0.727272727272727,-3.94971045518184
"74",0.737373737373737,-3.94971045518184
"75",0.747474747474748,-3.94971045518184
"76",0.757575757575758,-3.94971045518184
"77",0.767676767676768,-3.94971045518184
"78",0.777777777777778,-3.94971045518184
"79",0.787878787878788,-3.94971045518184
"80",0.797979797979798,-3.94971045518184
"81",0.808080808080808,-3.94971045518184
"82",0.818181818181818,-3.94971045518184
"83",0.828282828282828,-3.94971045518184
"84",0.838383838383838,-3.94971045518184
"85",0.848484848484849,-3.94971045518184
"86",0.858585858585859,-3.94971045518184
"87",0.868686868686869,-3.94971045518184
"88",0.878787878787879,-3.94971045518184
"89",0.888888888888889,-3.94971045518184
"90",0.898989898989899,-3.94971045518184
"91",0.909090909090909,-3.94971045518184
"92",0.919191919191919,-3.94971045518184
"93",0.929292929292929,-3.94971045518184
"94",0.939393939393939,-3.94971045518184
"95",0.94949494949495,-3.94971045518184
"96",0.95959595959596,-3.94971045518184
"97",0.96969696969697,-3.94971045518184
"98",0.97979797979798,-3.94971045518184
"99",0.98989898989899,-3.94971045518184
"100",1,-3.94971045518184
