"","HIPPOSIDERIDAE","y"
"1",0,-5.40722341863358
"2",0.0101010101010101,-5.40722341863358
"3",0.0202020202020202,-5.40722341863358
"4",0.0303030303030303,-5.40722341863358
"5",0.0404040404040404,-5.40722341863358
"6",0.0505050505050505,-5.40722341863358
"7",0.0606060606060606,-5.40722341863358
"8",0.0707070707070707,-5.40722341863358
"9",0.0808080808080808,-5.40722341863358
"10",0.0909090909090909,-5.40722341863358
"11",0.101010101010101,-5.40722341863358
"12",0.111111111111111,-5.40722341863358
"13",0.121212121212121,-5.40722341863358
"14",0.131313131313131,-5.40722341863358
"15",0.141414141414141,-5.40722341863358
"16",0.151515151515152,-5.40722341863358
"17",0.161616161616162,-5.40722341863358
"18",0.171717171717172,-5.40722341863358
"19",0.181818181818182,-5.40722341863358
"20",0.191919191919192,-5.40722341863358
"21",0.202020202020202,-5.40722341863358
"22",0.212121212121212,-5.40722341863358
"23",0.222222222222222,-5.40722341863358
"24",0.232323232323232,-5.40722341863358
"25",0.242424242424242,-5.40722341863358
"26",0.252525252525253,-5.40722341863358
"27",0.262626262626263,-5.40722341863358
"28",0.272727272727273,-5.40722341863358
"29",0.282828282828283,-5.40722341863358
"30",0.292929292929293,-5.40722341863358
"31",0.303030303030303,-5.40722341863358
"32",0.313131313131313,-5.40722341863358
"33",0.323232323232323,-5.40722341863358
"34",0.333333333333333,-5.40722341863358
"35",0.343434343434343,-5.40722341863358
"36",0.353535353535354,-5.40722341863358
"37",0.363636363636364,-5.40722341863358
"38",0.373737373737374,-5.40722341863358
"39",0.383838383838384,-5.40722341863358
"40",0.393939393939394,-5.40722341863358
"41",0.404040404040404,-5.40722341863358
"42",0.414141414141414,-5.40722341863358
"43",0.424242424242424,-5.40722341863358
"44",0.434343434343434,-5.40722341863358
"45",0.444444444444444,-5.40722341863358
"46",0.454545454545455,-5.40722341863358
"47",0.464646464646465,-5.40722341863358
"48",0.474747474747475,-5.40722341863358
"49",0.484848484848485,-5.40722341863358
"50",0.494949494949495,-5.40722341863358
"51",0.505050505050505,-5.40722341863358
"52",0.515151515151515,-5.40722341863358
"53",0.525252525252525,-5.40722341863358
"54",0.535353535353535,-5.40722341863358
"55",0.545454545454546,-5.40722341863358
"56",0.555555555555556,-5.40722341863358
"57",0.565656565656566,-5.40722341863358
"58",0.575757575757576,-5.40722341863358
"59",0.585858585858586,-5.40722341863358
"60",0.595959595959596,-5.40722341863358
"61",0.606060606060606,-5.40722341863358
"62",0.616161616161616,-5.40722341863358
"63",0.626262626262626,-5.40722341863358
"64",0.636363636363636,-5.40722341863358
"65",0.646464646464647,-5.40722341863358
"66",0.656565656565657,-5.40722341863358
"67",0.666666666666667,-5.40722341863358
"68",0.676767676767677,-5.40722341863358
"69",0.686868686868687,-5.40722341863358
"70",0.696969696969697,-5.40722341863358
"71",0.707070707070707,-5.40722341863358
"72",0.717171717171717,-5.40722341863358
"73",0.727272727272727,-5.40722341863358
"74",0.737373737373737,-5.40722341863358
"75",0.747474747474748,-5.40722341863358
"76",0.757575757575758,-5.40722341863358
"77",0.767676767676768,-5.40722341863358
"78",0.777777777777778,-5.40722341863358
"79",0.787878787878788,-5.40722341863358
"80",0.797979797979798,-5.40722341863358
"81",0.808080808080808,-5.40722341863358
"82",0.818181818181818,-5.40722341863358
"83",0.828282828282828,-5.40722341863358
"84",0.838383838383838,-5.40722341863358
"85",0.848484848484849,-5.40722341863358
"86",0.858585858585859,-5.40722341863358
"87",0.868686868686869,-5.40722341863358
"88",0.878787878787879,-5.40722341863358
"89",0.888888888888889,-5.40722341863358
"90",0.898989898989899,-5.40722341863358
"91",0.909090909090909,-5.40722341863358
"92",0.919191919191919,-5.40722341863358
"93",0.929292929292929,-5.40722341863358
"94",0.939393939393939,-5.40722341863358
"95",0.94949494949495,-5.40722341863358
"96",0.95959595959596,-5.40722341863358
"97",0.96969696969697,-5.40722341863358
"98",0.97979797979798,-5.40722341863358
"99",0.98989898989899,-5.40722341863358
"100",1,-5.40722341863358
